81898 Melvil Dewey   United States 
339 Ayn Rand   Russia 
841 Attila the Hun   Hungary 
700 Arthur Schopenhauer   POLAND 
308 Aristotle   Greece 
890 Anna Kournikova   Russia 
864 Andy Warhol   UNITED STATES 
915 Andrey Markov   Russia 
676 Andrei Tarkovsky   Russia 
595 Andre Agassi   UNITED STATES 
868 Alp Arslan   Unknown 
851 Alfred Nobel   SWEDEN 
808 Alfred Hitchcock   UNITED KINGDOM 
783 Alexander the Great   Greece 
852 Alexander Graham Bell   UNITED KINGDOM 
628 Aldous Huxley   UNITED KINGDOM 
736 Albert Einstein   Germany 
872 Akira Kurosawa   JAPAN 
307 Abraham Lincoln   UNITED STATES 
924 A. A. Milne   UNITED KINGDOM 
