307 Abraham Lincoln   UNITED STATES
308 Aristotle   Greece
339 Ayn Rand   Russia
595 Andre Agassi   UNITED STATES
628 Aldous Huxley   UNITED KINGDOM
676 Andrei Tarkovsky   Russia
700 Arthur Schopenhauer   POLAND
736 Albert Einstein   Germany
783 Alexander the Great   Greece
808 Alfred Hitchcock   UNITED KINGDOM
841 Attila the Hun   Hungary
851 Alfred Nobel   SWEDEN
852 Alexander Graham Bell   UNITED KINGDOM
864 Andy Warhol   UNITED STATES
868 Alp Arslan   Unknown
872 Akira Kurosawa   JAPAN
890 Anna Kournikova   Russia
915 Andrey Markov   Russia
924 A. A. Milne   UNITED KINGDOM
81898 Melvil Dewey   United States
954 Albert Speer   GERMANY
974 Ada Lovelace   UNITED KINGDOM
983 Albert Camus   ALGERIA
984 Agatha Christie   UNITED KINGDOM
1006 Aaron   Egypt
1017 Allen Ginsberg   UNITED STATES
1020 Anatoly Karpov   Russia
1028 Aristophanes   Greece
1029 Albert Schweitzer   France
1051 Alexis Carrel   France
1057 Anatole France   FRANCE
1058 André Gide   FRANCE
1130 Avicenna   UZBEKISTAN
1141 Augustin-Jean Fresnel   France
1168 Anaximander   Turkey
1177 Aleister Crowley   UNITED KINGDOM
1208 Alan Turing   UNITED KINGDOM
1235 Alexander Mackenzie   UNITED KINGDOM
1239 Ashoka   India
1247 Alfonso Cuarón   MEXICO
1256 Antoninus Pius   ITALY
1273 Augustus   ITALY
1363 André-Marie Ampère   FRANCE
1370 Ambrose   GERMANY
1389 Ahab   Israel
1408 Alcuin   UNITED KINGDOM
1425 Antonio Vivaldi   ITALY
1436 Abraham   Unknown
1438 Absalom   Palestine
1494 Alfred Russel Wallace   UNITED KINGDOM
1514 Albert I, Duke of Prussia   Germany
1527 Ahmed I   Turkey
1528 Ahmed II   Turkey
1529 Ahmed III   Bulgaria
1550 Agesilaus II   Greece
1557 Agrippina the Younger   GERMANY
1560 Ahmed Shah Abdali   AFGHANISTAN
1570 Alaric I   Romania
1571 Alaric II   Romania
1573 Albertus Magnus   GERMANY
1575 Alboin   HUNGARY
1576 Afonso de Albuquerque   Portugal
1577 Alcaeus   GREECE
1586 Alexander Balas   Turkey
1591 Alexander II of Russia   Russia
1592 Alexander III of Russia   Russia
1593 Alexander I of Scotland   UNITED KINGDOM
1594 Alexander II of Scotland   United Kingdom
1595 Alexander I of Serbia   SERBIA
1596 Alexander III of Scotland   United Kingdom
1600 Alexander Severus   Lebanon
1613 Alexios I Komnenos   Turkey
1615 Alexios II Komnenos   Turkey
1616 Alexios III Angelos   Turkey
1617 Alexios V   Unknown
1623 Andrew Jackson   United States
1624 Andrew Johnson   UNITED STATES
1625 Aleksandr Solzhenitsyn   Russia
1640 Alfred the Great   United Kingdom
1645 Ibn al-Haitham   Iraq
1652 Alyattes II   Unknown
1655 Amalasuntha   Italy
1657 Afonso I of Portugal   PORTUGAL
1658 Afonso II of Portugal   PORTUGAL
1659 Afonso III of Portugal   PORTUGAL
1660 Afonso IV of Portugal   PORTUGAL
1661 Afonso V of Portugal   Portugal
1676 Alfonso XII of Spain   SPAIN
1677 Alfonso XIII of Spain   Spain
1686 Alfonso V of Aragon   SPAIN
1698 Ambiorix   Belgium
1715 Abu Bakr   SAUDI ARABIA
1735 Ananda   Unknown
1737 Anaxagoras   Turkey
1748 Anaximenes of Miletus   Turkey
1749 Ancus Marcius   Italy
1755 Andrew II of Hungary   Hungary
1760 Andronikos III Palaiologos   Turkey
1761 Andronikos II Palaiologos   Turkey
1762 Andronikos I Komnenos   Turkey
1767 Ammianus Marcellinus   Turkey
1789 Apuleius   Algeria
1790 Alexander Selkirk   UNITED KINGDOM
1806 Arnold Schwarzenegger   AUSTRIA
1814 Adam Smith   UNITED KINGDOM
1822 Antoine Lavoisier   FRANCE
1828 Amitabh Bachchan   India
1840 Agathocles of Syracuse   Italy
1842 Augustin Louis Cauchy   FRANCE
1844 Archimedes   Italy
1869 Alfred Jarry   France
1873 Anthemius of Tralles   TURKEY
1923 Alessandro Volta   ITALY
1937 Alexander Fleming   United Kingdom
1938 Andrew Carnegie   United Kingdom
1988 Abel Tasman   NETHERLANDS
2009 Alvar Aalto   FINLAND
2018 A.J. Ayer   United Kingdom
2021 Atle Selberg   NORWAY
2023 Aeschylus   Greece
2027 Andrew Wiles   United Kingdom
2029 Anne Brontë   United Kingdom
2030 Augustine of Hippo   Algeria
2042 Alexander Grothendieck   Germany
2062 Amerigo Vespucci   ITALY
2063 Aristide Maillol   France
2064 Antonio Canova   Italy
2065 Auguste Rodin   FRANCE
2077 Adam Weishaupt   Germany
2108 Adalbert of Prague   CZECH REPUBLIC
187477 Joseph Henry   UNITED STATES
2151 Anton Drexler   Germany
2176 Ahmed Shah Massoud   Afghanistan
2180 Arcadius   Spain
2201 Aage Niels Bohr   DENMARK
2238 Antipope John XXIII   Italy
2241 Antonio Salieri   ITALY
2274 Arthur Stanley Eddington   UNITED KINGDOM
313701 Paul Krugman   UNITED STATES
2340 Antipope Felix II   Unknown
2363 Alessandro Scarlatti   ITALY
2383 Alois Alzheimer   GERMANY
2391 Akio Morita   JAPAN
2397 Anthony Hopkins   United Kingdom
2402 Albrecht Dürer   Germany
2406 Alban Berg   AUSTRIA
2425 Aurangzeb   INDIA
2433 Alberto Giacometti   SWITZERLAND
2440 Albrecht Altdorfer   GERMANY
2447 Anton Chekhov   Russia
2510 Arnulf of Carinthia, Holy Roman Emperor   Unknown
2543 Alexander Kerensky   Russia
2544 Ansgar   FRANCE
2552 Adam of Bremen   Germany
2575 André the Giant   FRANCE
2609 Abbas II of Egypt   Egypt
2676 Abd ar-Rahman I   ISRAEL
2678 Abd-ar-Rahman III   Spain
2681 Abdülâziz   TURKEY
2692 ‘Abdu’l-Hamid I   Turkey
2695 Abdur Rahman Khan   Afghanistan
2722 Anders Celsius   SWEDEN
2786 Andrei Sakharov   Russia
2812 Aron Nimzowitsch   LATVIA
2847 Aung San Suu Kyi   
2875 Archduke Charles, Duke of Teschen   ITALY
2877 Augustine of Canterbury   ITALY
2911 Amr Diab   EGYPT
2919 Anaïs Nin   FRANCE
2944 Ariel Sharon   Israel
3017 Alexey Pazhitnov   Russia
3019 `Abdu'l-Bahá   Iran
3092 Akira Toriyama   JAPAN
182532 Alec Baldwin   UNITED STATES
3132 Adolphe Sax   BELGIUM
69861 Kirk Douglas   UNITED STATES
3225 Athanasius of Alexandria   Egypt
3246 Anthony the Great   Egypt
3356 Bill Clinton   UNITED STATES
3382 Britney Spears   UNITED STATES
3395 Gautama Buddha   Nepal
3408 Baruch Spinoza   NETHERLANDS
